,total_bill,sex,smoker,day,time,size,tip
192,28.44,1,1,3,1,2,2.56
193,15.48,1,1,3,1,2,2.02
194,16.58,1,1,3,1,2,4.0
195,7.56,1,0,3,1,2,1.44
196,10.34,1,1,3,1,2,2.0
197,43.11,0,1,3,1,4,5.0
198,13.0,0,1,3,1,2,2.0
199,13.51,1,1,3,1,2,2.0
200,18.71,1,1,3,1,3,4.0
201,12.74,0,1,3,1,2,2.01
202,13.0,0,1,3,1,2,2.0
203,16.4,0,1,3,1,2,2.5
204,20.53,1,1,3,1,4,4.0
205,16.47,0,1,3,1,3,3.23
206,26.59,1,1,1,0,3,3.41
207,38.73,1,1,1,0,4,3.0
208,24.27,1,1,1,0,2,2.03
209,12.76,0,1,1,0,2,2.23
210,30.06,1,1,1,0,3,2.0
211,25.89,1,1,1,0,4,5.16
212,48.33,1,0,1,0,4,9.0
213,13.27,0,1,1,0,2,2.5
214,28.17,0,1,1,0,3,6.5
216,28.15,1,1,1,0,5,3.0
217,11.59,1,1,1,0,2,1.5
218,7.74,1,1,1,0,2,1.44
219,30.14,0,1,1,0,4,3.09
220,12.16,1,1,0,1,2,2.2
221,13.42,0,1,0,1,2,3.48
222,8.58,1,1,0,1,1,1.92
223,15.98,0,0,0,1,3,3.0
224,13.42,1,1,0,1,2,1.58
225,16.27,0,1,0,1,2,2.5
226,10.09,0,1,0,1,2,2.0
227,20.45,1,0,1,0,4,3.0
228,13.28,1,0,1,0,2,2.72
229,22.12,0,1,1,0,2,2.88
230,24.01,1,1,1,0,4,2.0
231,15.69,1,1,1,0,3,3.0
232,11.61,1,0,1,0,2,3.39
233,10.77,1,0,1,0,2,1.47
234,15.53,1,1,1,0,2,3.0
235,10.07,1,0,1,0,2,1.25
236,12.6,1,1,1,0,2,1.0
237,32.83,1,1,1,0,2,1.17
238,35.83,0,0,1,0,3,4.67
239,29.03,1,0,1,0,3,5.92
240,27.18,0,1,1,0,2,2.0
241,22.67,1,1,1,0,2,2.0
243,18.78,0,0,3,0,2,3.0
